,,,"1,00%",,"6,45%","5,56%",,"-4,71%",0,,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Diferencia entre low y stop lost,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,09/15/2021,"40,2","40,60",Si,"41,94","3,30%","39,83","-1,90%",,"41,87","3,12%","0,45%",Si,5835873,Si,"-77,94%",-32%,62%,"1,00",0,"3,12%",1
,09/14/2021,41,"41,41",Si,41,"-0,99%","39,23","-5,26%",,"40,02","-3,36%","0,99%",No,4298047,No,"-83,75%",-120%,-6%,"0,00",0,"-4,71%",0
,09/13/2021,"41,22","41,63",Si,"41,39","-0,58%","39,8","-4,40%",,"40,6","-2,48%","0,12%",No,4309173,No,"-83,71%",-112%,12%,"1,00",0,"-2,48%",0
,09/10/2021,"41,5","41,92",Si,"42,52","1,44%","40,72","-2,85%",,"41,17","-1,78%","0,53%",Si,5521802,Si,"-79,13%",-70%,43%,"1,00",0,"-1,78%",0
,09/09/2021,"40,5","40,91",Si,"42,54","4,00%","40,38","-1,28%",,"41,28","0,92%","1,12%",No,6981918,Si,"-73,61%",-18%,74%,"1,00",0,"0,92%",1
,09/08/2021,42,"42,42",Si,"42,21","-0,50%","39,81","-6,15%",,"40,05","-5,59%","-0,31%",No,7834862,Si,"-70,39%",-110%,-24%,"0,00",0,"-4,71%",0
,09/07/2021,"43,33","43,76",Si,"43,39","-0,85%","41,75","-4,60%",,"42,13","-3,73%","-0,05%",No,6179176,Si,"-76,64%",-118%,8%,"1,00",0,"-3,73%",0
,09/03/2021,"44,69","45,14",Si,"44,88","-0,57%","43,15","-4,40%",,"43,35","-3,96%","0,45%",No,4676645,No,"-82,32%",-112%,12%,"1,00",0,"-3,96%",0
,09/02/2021,"45,2","45,65",Si,"45,8","0,32%","44,2","-3,18%",0,"44,49","-2,55%","1,41%",No,4099172,No,"-84,51%",-93%,36%,"1,00",0,"-2,55%",0
,09/01/2021,"43,76","44,20",Si,"47,12","6,61%","43,7","-1,13%",0,"44,57","0,84%","-1,26%",Si,11012950,Si,"-58,37%",36%,77%,"1,00",1,"5,56%",1
,08/31/2021,"42,03","42,45",Si,"44,5","4,83%","41,51","-2,22%",,"44,32","4,40%","-3,69%",Si,8847512,Si,"-66,56%",0%,56%,"1,00",0,"4,40%",1
,08/30/2021,"46,3","46,76",Si,"46,6","-0,35%","42,56","-8,99%",,"43,64","-6,68%","-1,22%",No,12363840,Si,"-53,27%",-107%,-81%,"0,00",0,"-4,71%",0
,08/27/2021,"46,8","47,27",Si,"48,1","1,76%","46,14","-2,39%",,"46,87","-0,84%","-0,13%",Si,6058053,Si,"-77,10%",-64%,52%,"1,00",0,"-0,84%",0
,08/26/2021,48,"48,48",Si,"49,85","2,83%","46,4","-4,29%",,"46,86","-3,34%","-2,00%",Si,7187728,Si,"-72,83%",-42%,14%,"1,00",0,"-3,34%",0
,08/25/2021,"48,43","48,91",Si,"50,99","4,24%","47,5","-2,89%",,"48,98","0,13%","-1,92%",Si,10837520,Si,"-59,04%",-13%,42%,"1,00",0,"0,13%",1
,08/24/2021,"46,46","46,92",Si,"50,24","7,07%",46,"-1,97%",,"49,38","5,23%","2,58%",No,17122750,Si,"-35,28%",46%,60%,"1,00",1,"5,56%",1
,08/23/2021,"44,16","44,60",Si,"46,85","5,04%","43,32","-2,87%",0,"45,29","1,54%","3,56%",No,15664720,Si,"-40,79%",4%,42%,"1,00",0,"1,54%",1
,08/20/2021,"45,2","45,65",Si,"45,56","-0,20%","42,44","-7,04%","-1,32%","42,64","-6,60%","1,14%",No,11764300,Si,"-55,53%",-104%,-41%,"0,00",0,"-4,71%",0
,08/19/2021,"45,06","45,51",Si,"46,88","3,01%","44,14","-3,01%",0,"44,69","-1,80%","-9,52%",Si,18517570,Si,"-30,01%",-38%,40%,"1,00",0,"-1,80%",0
,08/18/2021,"47,97","48,45",Si,"52,06","7,45%","47,2","-2,58%",,"49,8","2,79%","2,79%",No,24408000,Si,"-7,75%",54%,48%,"1,00",1,"5,56%",1
,08/17/2021,"47,3","47,77",Si,"48,85","2,25%","46,01","-3,69%",,"46,67","-2,31%","0,23%",Si,9160299,Si,"-65,38%",-54%,26%,"1,00",0,"-2,31%",0
,08/16/2021,"49,4","49,89",Si,"49,79","-0,21%",47,"-5,80%",,"47,19","-5,42%","-2,43%",No,12052500,Si,"-54,45%",-104%,-17%,"0,00",0,"-4,71%",0
,08/13/2021,"48,45","48,93",Si,"53,2","8,72%","48,22","-1,46%",,"50,63","3,46%","0,73%",Si,25659810,Si,"-3,01%",80%,71%,"1,00",1,"5,56%",1
,08/12/2021,"50,13","50,63",Si,"50,39","-0,48%","47,52","-6,15%",,"48,1","-5,00%","-2,07%",No,13426240,Si,"-49,25%",-110%,-23%,"0,00",0,"-4,71%",0
,08/11/2021,"54,57","55,12",Si,"54,61","-0,92%",49,"-11,10%",,"51,19","-7,12%","1,17%",No,15893140,Si,"-39,93%",-119%,-123%,"0,00",0,"-4,71%",0
,08/10/2021,"56,49","57,05",Si,"58,49","2,52%","53,5","-6,23%","-0,52%","53,94","-5,46%","-0,60%",Si,17066350,Si,"-35,49%",-48%,-25%,"0,00",0,"-4,71%",0
,08/09/2021,"59,08","59,67",Si,"59,96","0,48%",56,"-6,15%",,"56,83","-4,76%","7,40%",No,27495240,Si,"3,92%",-90%,-24%,"0,00",0,"-4,71%",0
,08/06/2021,"57,77","58,35",Si,"60,88","4,34%","53,1","-8,99%",,"55,01","-5,72%","13,34%",No,70131720,Si,"165,08%",-11%,-81%,"0,00",0,"-4,71%",0
,08/05/2021,"62,9","63,53",Si,"66,5","4,68%","50,46","-20,57%",,"50,97","-19,77%","-10,64%",Si,82470400,Si,"211,71%",-4%,-313%,"0,00",0,"-4,71%",0
,08/04/2021,"54,45","54,99",Si,85,"54,56%","54,4","-1,08%",,"70,39","27,99%","16,35%",No,175790500,Si,"564,44%",1025%,78%,"1,00",1,"5,56%",1
,08/03/2021,"37,91","38,29",Si,"48,59","26,90%","37,16","-2,95%",,"46,8","22,23%","0,61%",Si,93819200,Si,"254,61%",455%,41%,"1,00",1,"5,56%",1
,08/02/2021,"35,97","36,33",Si,"37,98","4,54%","35,3","-2,83%",,"37,68","3,72%","2,33%",No,19948530,Si,"-24,60%",-6%,43%,"1,00",0,"3,72%",1
,07/30/2021,"34,93","35,28",Si,"36,98","4,82%","33,25","-5,75%",,"35,15","-0,37%","0,32%",Si,40632230,Si,"53,58%",-1%,-16%,"0,00",0,"-4,71%",0
,07/29/2021,38,"38,38",Si,"40,25","4,87%","33,35","-13,11%",,"34,82","-9,28%",#DIV/0!,#DIV/0!,102474700,Si,"287,32%",0%,-163%,"0,00",0,"-4,71%",0
,,,,,,"4,85%",,"-4,98%",,,,,,"26457131,47",,,,,,,,
,,,,,Cantidad de veces que el Low excedió el stop lost,,,,2,,,,,,,,,,,,,
,,,,,Cantidad de operaciones,,,,198,,,,,,"0,50%","78,35%",Ganadoras,,,,,
,,,,,Rateo de veces que sucede,,,,"1,01%",,,,,,,"21,65%",Perdedoras,,,,,
,Desvio Estandard,,,,% que excede el SL,,,,"-1,84%",,,,,,,"100,05%",Rdo Final,,,,,
,"3,30%",,,,Promedio de exceso,,,,"-0,92%",,,,,,,,,,,,,
,"1,44%",,,,,,,,,,,,,,"0,90%","79,33%",Ganadoras,,,,,
,"6,61%",,,,,,,,,,,,,,,"20,67%",Perdedoras,,,,,
,"4,83%",,,,,,,,,,,,,,,"67,28%",Rdo Final,,,,,
,"1,76%",,,,,,,,,,,,,,,,,,,,,
,"2,83%",,,,,,,,,,,,,,"1,00%","77,78%",Ganadoras,,,,,
,"4,24%",,,,,,,,,,,,,,,"22,22%",Perdedoras,,,,,
,"3,01%",,,,,,,,,,,,,,,"58,29%",Rdo Final,,,,,
,"2,25%",,,,,,,,,,,,,,,,,,,,,
,"8,72%",,,,,,,,,,,,,,"1,10%","78,02%",Ganadoras,,,,,
,"2,52%",,,,,,,,,,,,,,,"21,98%",Perdedoras,,,,,
,"4,68%",,,,,,,,,,,,,,,"45,30%",Rdo Final,,,,,
,"26,90%",,,,,,,,,,,,,,,,,,,,,
,"4,82%",,,,,,,,,,,,,,"1,50%","72,93%",Ganadoras,,,,,
,,,,,,,,,,,,,,,,"27,07%",Perdedoras,,,,,
,,,,,,,,,,,,,,,,"13,58%",Rdo Final,,,,,