,,,"1,00%",,"3,00%","2,46%",,"-3,94%",,,,,,,,,,,,,
,Date,Open,Open +1%,Cond. Precio,High,% Mov.,Low,% Mov.,Close,% Cierre,Gap,Operable,Volume,Cond. Vol,Com. Prom,Com. High,Com. Low,Rdo del dia c/ SL Prom,Rdo del dia c/ TP Prom,Resultados,Resultado
,08/10/2021,"485,5","490,36",Si,"497,49","1,46%",454,"-7,41%","456,76","-6,85%","0,21%",Si,36503719,Si,"148,20%",-41%,-88%,"0,00",0,"-3,94%",0
,08/09/2021,"411,3","415,41",Si,"493,76","18,86%","409,66","-1,38%","484,47","16,62%","-0,58%",Si,42269879,Si,"187,41%",669%,65%,"1,00",1,"2,46%",1
,08/06/2021,"410,3","414,40",Si,"419,26","1,17%","393,61","-5,02%","413,72","-0,16%","-1,43%",Si,18924650,Si,"28,68%",-52%,-27%,"0,00",0,"-3,94%",0
,08/05/2021,"409,72","413,82",Si,"443,99","7,29%",403,"-2,61%","416,26","0,59%","-2,23%",Si,25571510,Si,"73,87%",197%,34%,"1,00",1,"2,46%",1
,08/04/2021,385,"388,85",Si,433,"11,35%","377,11","-3,02%","419,05","7,77%","-0,39%",Si,32251619,Si,"119,29%",363%,23%,"1,00",1,"2,46%",1
,08/03/2021,"348,5","351,99",Si,"386,98","9,94%","344,5","-2,13%","386,51","9,81%","0,55%",Si,20424080,Si,"38,87%",305%,46%,"1,00",1,"2,46%",1
,08/02/2021,360,"363,60",Si,"365,6","0,55%","343,2","-5,61%","346,61","-4,67%","1,81%",No,13685920,Si,"-6,94%",-78%,-42%,"0,00",0,"-3,94%",0
,07/30/2021,"346,9","350,37",Si,"359,9","2,72%","342,28","-2,31%","353,6","0,92%","0,36%",Si,11345690,Si,"-22,86%",11%,41%,"1,00",1,"2,46%",1
,07/29/2021,"350,64","354,15",Si,"351,22","-0,83%",336,"-5,12%","345,64","-2,40%","0,38%",No,10100730,Si,"-31,32%",-134%,-30%,"0,00",0,"-3,94%",0
,07/28/2021,"333,01","336,34",Si,"350,99","4,36%","327,5","-2,63%","349,32","3,86%","1,37%",No,13091570,Si,"-10,99%",78%,33%,"1,00",1,"2,46%",1
,07/27/2021,"335,31","338,66",Si,"344,89","1,84%","318,29","-6,02%","328,5","-3,00%","-0,17%",Si,17196689,Si,"16,93%",-25%,-53%,"0,00",0,"-3,94%",0
,07/26/2021,352,"355,52",Si,362,"1,82%","329,15","-7,42%","335,87","-5,53%","0,91%",Si,23387801,Si,"59,02%",-26%,-88%,"0,00",0,"-3,94%",0
,07/23/2021,"330,9","334,21",Si,"349,45","4,56%","325,17","-2,70%","348,83","4,37%","2,29%",No,23431400,Si,"59,32%",86%,31%,"1,00",1,"2,46%",1
,07/22/2021,319,"322,19",Si,"329,6","2,30%","316,29","-1,83%","323,48","0,40%","-0,66%",Si,16491279,Si,"12,13%",-6%,54%,"1,00",0,"0,40%",1
,07/21/2021,"298,51","301,50",Si,"325,88","8,09%","293,62","-2,61%","321,11","6,51%","-2,87%",Si,30859289,Si,"109,82%",230%,34%,"1,00",1,"2,46%",1
,07/20/2021,"318,22","321,40",Si,"342,51","6,57%",292,"-9,15%","307,33","-4,38%","1,48%",No,123115508,Si,"737,11%",168%,-132%,"0,00",1,"-3,94%",0
,07/19/2021,"284,54","287,39",Si,"317,88","10,61%","283,14","-1,48%","313,59","9,12%","-0,66%",Si,35526770,Si,"141,56%",333%,63%,"1,00",1,"2,46%",1
,07/16/2021,"276,92","279,69",Si,"288,88","3,29%","271,5","-2,93%","286,43","2,41%","6,64%",No,41397246,Si,"181,48%",34%,26%,"1,00",1,"2,46%",1
,07/15/2021,"246,66","249,13",Si,"261,22","4,85%","245,51","-1,45%","259,68","4,24%","0,00%",Si,15130780,Si,"2,88%",98%,63%,"1,00",1,"2,46%",1
,07/14/2021,"237,25","239,62",Si,"249,92","4,30%","237,22","-1,00%","246,66","2,94%","0,89%",Si,9420397,Si,"-35,95%",75%,75%,"1,00",1,"2,46%",1
,07/13/2021,"239,14","241,53",Si,"239,82","-0,71%","233,8","-3,20%","235,15","-2,64%","-0,08%",No,4186383,No,"-71,54%",-129%,19%,"1,00",0,"-2,64%",0
,07/12/2021,"230,98","233,29",Si,"242,39","3,90%","229,2","-1,75%","239,34","2,59%","-0,79%",Si,6938180,Si,"-52,82%",59%,56%,"1,00",1,"2,46%",1
,07/09/2021,"231,97","234,29",Si,"233,8","-0,21%","224,28","-4,27%","232,81","-0,63%","-0,35%",No,5305101,Si,"-63,93%",-109%,-8%,"0,00",0,"-3,94%",0
,07/08/2021,"215,66","217,82",Si,"233,41","7,16%","214,07","-1,72%","232,79","6,87%","-2,81%",Si,8719363,Si,"-40,71%",192%,56%,"1,00",1,"2,46%",1
,07/07/2021,"231,76","234,08",Si,"231,86","-0,95%","220,82","-5,66%","221,9","-5,20%","-0,68%",No,4889299,No,"-66,76%",-139%,-44%,"0,00",0,"-3,94%",0
,07/06/2021,"229,62","231,92",Si,"234,6","1,16%","225,43","-2,80%","233,34","0,61%","-2,00%",Si,4956460,No,"-66,30%",-53%,29%,"1,00",0,"0,61%",1
,07/02/2021,"235,1","237,45",Si,"238,9","0,61%","230,14","-3,08%","234,3","-1,33%","0,00%",No,4200450,No,"-71,44%",-75%,22%,"1,00",0,"-1,33%",0
,07/01/2021,"236,3","238,66",Si,"236,71","-0,82%","227,67","-4,61%","235,11","-1,49%","0,56%",No,5933146,Si,"-59,66%",-133%,-17%,"0,00",0,"-3,94%",0
,06/30/2021,"237,98","240,36",Si,"245,7","2,22%","232,41","-3,31%","234,98","-2,24%","1,50%",No,9319109,Si,"-36,64%",-9%,16%,"1,00",0,"-2,24%",0
,06/29/2021,"221,19","223,40",Si,"238,4","6,71%","219,33","-1,82%","234,46","4,95%","-0,78%",Si,11417040,Si,"-22,37%",174%,54%,"1,00",1,"2,46%",1
,06/28/2021,223,"225,23",Si,"225,09","-0,06%","215,6","-4,28%","222,94","-1,02%","1,39%",No,6190647,Si,"-57,91%",-103%,-9%,"0,00",0,"-3,94%",0
,06/25/2021,"221,26","223,47",Si,"226,51","1,36%","216,33","-3,20%","219,94","-1,58%","0,51%",Si,13315620,Si,"-9,46%",-45%,19%,"1,00",0,"-1,58%",0
,06/24/2021,"214,38","216,52",Si,"221,49","2,29%","213,46","-1,41%","220,14","1,67%","1,10%",No,8171884,Si,"-44,44%",-7%,64%,"1,00",0,"1,67%",1
,06/23/2021,"219,98","222,18",Si,"224,57","1,08%","205,55","-7,48%","212,04","-4,56%","-0,62%",Si,14558440,Si,"-1,01%",-56%,-90%,"0,00",0,"-3,94%",0
,06/22/2021,"210,76","212,87",Si,"222,4","4,48%","210,25","-1,23%","221,36","3,99%","1,21%",No,10066340,Si,"-31,55%",83%,69%,"1,00",1,"2,46%",1
,06/21/2021,"200,86","202,87",Si,"211,04","4,03%",200,"-1,41%","208,24","2,65%","0,84%",Si,7423063,Si,"-49,53%",64%,64%,"1,00",1,"2,46%",1
,06/18/2021,"201,39","203,40",Si,"204,84","0,71%","194,51","-4,37%","199,19","-2,07%","-0,53%",No,6663813,Si,"-54,69%",-71%,-11%,"0,00",0,"-3,94%",0
,06/17/2021,200,"202,00",Si,"203,92","0,95%","197,72","-2,12%","202,47","0,23%","1,09%",No,4955160,No,"-66,31%",-61%,46%,"1,00",0,"0,23%",1
,06/16/2021,200,"202,00",Si,"203,98","0,98%","193,2","-4,36%","197,84","-2,06%","-0,79%",No,7264747,Si,"-50,60%",-60%,-11%,"0,00",0,"-3,94%",0
,06/15/2021,"203,49","205,52",Si,"207,85","1,13%","199,2","-3,08%","201,59","-1,91%","-1,89%",Si,6786260,Si,"-53,86%",-54%,22%,"1,00",0,"-1,91%",0
,06/14/2021,"213,27","215,40",Si,"213,49","-0,89%",198,"-8,08%","207,41","-3,71%","-2,55%",No,11743700,Si,"-20,15%",-136%,-105%,"0,00",0,"-3,94%",0
,06/11/2021,"211,9","214,02",Si,"218,9","2,28%","211,8","-1,04%","218,85","2,26%","-2,35%",Si,5576026,Si,"-62,09%",-7%,74%,"1,00",0,"2,26%",1
,06/10/2021,"216,62","218,79",Si,"221,88","1,41%","207,7","-5,07%",217,"-0,82%","-0,38%",Si,11763150,Si,"-20,02%",-42%,-29%,"0,00",0,"-3,94%",0
,06/09/2021,"212,3","214,42",Si,"221,5","3,30%","212,01","-1,13%","217,44","1,41%","-0,33%",Si,8016465,Si,"-45,49%",35%,71%,"1,00",1,"2,46%",1
,06/08/2021,"220,1","222,30",Si,"222,34","0,02%","202,5","-8,91%",213,"-4,18%","0,24%",No,11857630,Si,"-19,38%",-99%,-126%,"0,00",0,"-3,94%",0
,06/07/2021,"207,1","209,17",Si,"227,71","8,86%","206,42","-1,32%","219,57","4,97%","0,50%",Si,19034359,Si,"29,42%",261%,67%,"1,00",1,"2,46%",1
,06/04/2021,"197,9","199,88",Si,"207,38","3,75%","197,33","-1,28%","206,07","3,10%","1,37%",No,11103270,Si,"-24,50%",53%,68%,"1,00",1,"2,46%",1
,06/03/2021,"188,89","190,78",Si,200,"4,83%","188,63","-1,13%","195,22","2,33%","-1,41%",Si,9270151,Si,"-36,97%",97%,71%,"1,00",1,"2,46%",1
,06/02/2021,"183,9","185,74",Si,"194,5","4,72%","183,28","-1,32%","191,6","3,16%","-0,41%",Si,10142520,Si,"-31,04%",92%,66%,"1,00",1,"2,46%",1
,06/01/2021,"184,08","185,92",Si,"185,28","-0,34%","178,8","-3,83%","184,66","-0,68%","-0,50%",No,6010881,Si,"-59,13%",-114%,3%,"1,00",0,"-0,68%",0
,05/28/2021,"178,62","180,41",Si,"186,64","3,46%","178,36","-1,13%","185,01","2,55%","-0,51%",Si,8567185,Si,"-41,75%",41%,71%,"1,00",1,"2,46%",1
,05/27/2021,"174,2","175,94",Si,180,"2,31%","173,63","-1,31%","179,54","2,04%","-0,79%",Si,10844890,Si,"-26,26%",-6%,67%,"1,00",0,"2,04%",1
,05/26/2021,"168,7","170,39",Si,"175,62","3,07%","168,51","-1,10%","175,59","3,05%","-0,33%",Si,6885242,Si,"-53,18%",25%,72%,"1,00",1,"2,46%",1
,05/25/2021,"166,56","168,23",Si,"171,74","2,09%","165,1","-1,86%","169,26","0,61%","1,46%",No,7759917,Si,"-47,24%",-15%,53%,"1,00",0,"0,61%",1
,05/24/2021,"162,88","164,51",Si,"166,8","1,39%","161,01","-2,13%","164,17","-0,21%","0,89%",Si,4501276,No,"-69,39%",-43%,46%,"1,00",0,"-0,21%",0
,05/21/2021,"168,93","170,62",Si,"169,28","-0,78%","161,35","-5,43%","161,45","-5,37%","1,78%",No,5169131,Si,"-64,85%",-132%,-38%,"0,00",0,"-3,94%",0
,05/20/2021,"159,92","161,52",Si,"166,81","3,28%","158,89","-1,63%","165,97","2,76%","1,22%",No,4826341,No,"-67,18%",34%,59%,"1,00",1,"2,46%",1
,05/19/2021,"155,74","157,30",Si,"160,07","1,76%","154,51","-1,77%","157,99","0,44%","-2,38%",Si,3943745,No,"-73,18%",-28%,55%,"1,00",0,"0,44%",1
,05/18/2021,"160,16","161,76",Si,"165,75","2,47%","157,9","-2,39%","159,53","-1,38%","-0,17%",Si,4811395,No,"-67,29%",0%,39%,"1,00",1,"2,46%",1
,05/17/2021,159,"160,59",Si,"163,37","1,73%","156,72","-2,41%","160,43","-0,10%","-1,47%",Si,4219188,No,"-71,31%",-29%,39%,"1,00",0,"-0,10%",0
,05/14/2021,"150,85","152,36",Si,"162,46","6,63%","150,4","-1,29%","161,38","5,92%","0,65%",Si,6512867,Si,"-55,72%",170%,67%,"1,00",1,"2,46%",1
,05/13/2021,"152,6","154,13",Si,"155,62","0,97%","146,85","-4,72%","149,87","-2,76%","-0,05%",No,5765024,Si,"-60,80%",-60%,-20%,"0,00",0,"-3,94%",0
,05/12/2021,"154,11","155,65",Si,"158,91","2,09%","151,15","-2,89%","152,68","-1,91%","-3,07%",Si,5720784,Si,"-61,10%",-15%,27%,"1,00",0,"-1,91%",0
,05/11/2021,"151,31","152,82",Si,"161,99","6,00%","150,06","-1,81%","158,99","4,04%","-4,57%",Si,8087399,Si,"-45,01%",144%,54%,"1,00",1,"2,46%",1
,05/10/2021,"164,01","165,65",Si,"164,76","-0,54%","155,71","-6,00%","158,55","-4,29%","0,53%",No,8809685,Si,"-40,10%",-122%,-52%,"0,00",0,"-3,94%",0
,05/07/2021,"165,78","167,44",Si,"169,02","0,94%","160,82","-3,95%","163,15","-2,56%","3,29%",No,11952610,Si,"-18,73%",-61%,0%,"0,00",0,"-3,94%",0
,05/06/2021,148,"149,48",Si,"163,47","9,36%","143,56","-3,96%","160,5","7,37%","-9,11%",Si,29662340,Si,"101,69%",281%,-1%,"0,00",1,"-3,94%",0
,05/05/2021,"178,1","179,88",Si,"180,7","0,46%","156,81","-12,83%","162,84","-9,47%","2,60%",No,18914250,Si,"28,61%",-81%,-225%,"0,00",0,"-3,94%",0
,05/04/2021,"185,34","187,19",Si,"188,49","0,69%","171,63","-8,31%","173,59","-7,27%","-0,37%",No,16924199,Si,"15,07%",-72%,-111%,"0,00",0,"-3,94%",0
,05/03/2021,"183,9","185,74",Si,189,"1,76%","182,21","-1,90%","186,02","0,15%","2,84%",No,14631040,Si,"-0,52%",-28%,52%,"1,00",0,"0,15%",1
,04/30/2021,"175,59","177,35",Si,184,"3,75%","174,52","-1,59%","178,82","0,83%","-0,05%",Si,9495237,Si,"-35,44%",53%,60%,"1,00",1,"2,46%",1
,04/29/2021,"183,33","185,16",Si,"186,8","0,88%","174,76","-5,62%","175,67","-5,13%","2,60%",No,8362706,Si,"-43,14%",-64%,-43%,"0,00",0,"-3,94%",0
,04/28/2021,"182,37","184,19",Si,"182,89","-0,71%","176,12","-4,38%","178,68","-2,99%","-0,57%",No,8375405,Si,"-43,05%",-129%,-11%,"0,00",0,"-3,94%",0
,04/27/2021,"178,36","180,14",Si,"185,53","2,99%","178,18","-1,09%","183,41","1,81%","0,42%",Si,12925680,Si,"-12,11%",22%,72%,"1,00",1,"2,46%",1
,04/26/2021,"171,79","173,51",Si,"179,6","3,51%","168,88","-2,67%","177,61","2,36%","-1,06%",Si,12201730,Si,"-17,04%",43%,32%,"1,00",1,"2,46%",1
,04/23/2021,"170,31","172,01",Si,"175,51","2,03%","168,35","-2,13%","173,63","0,94%","1,31%",No,8855331,Si,"-39,79%",-17%,46%,"1,00",0,"0,94%",1
,04/22/2021,"168,26","169,94",Si,179,"5,33%","164,62","-3,13%","168,1","-1,08%","-0,73%",Si,15922380,Si,"8,26%",117%,21%,"1,00",1,"2,46%",1
,04/21/2021,"158,6","160,19",Si,"170,11","6,20%","157,69","-1,56%","169,5","5,81%","1,16%",No,11352740,Si,"-22,81%",153%,60%,"1,00",1,"2,46%",1
,04/20/2021,"160,32","161,92",Si,"162,73","0,50%","153,27","-5,34%","156,78","-3,18%","-0,98%",No,7154386,Si,"-51,35%",-80%,-36%,"0,00",0,"-3,94%",0
,04/19/2021,"166,61","168,28",Si,"168,2","-0,05%","159,6","-5,16%","161,91","-3,78%","-2,46%",No,10006650,Si,"-31,96%",-102%,-31%,"0,00",0,"-3,94%",0
,04/16/2021,"158,68","160,27",Si,"171,92","7,27%","158,21","-1,28%","170,81","6,58%","-0,74%",Si,19044900,Si,"29,49%",196%,67%,"1,00",1,"2,46%",1
,04/15/2021,159,"160,59",Si,"163,58","1,86%","155,23","-3,34%","159,87","-0,45%","-0,64%",Si,10340440,Si,"-29,69%",-24%,15%,"1,00",0,"-0,45%",0
,04/14/2021,"153,66","155,20",Si,"160,92","3,69%","152,49","-1,74%","160,03","3,11%","2,64%",No,15389840,Si,"4,64%",50%,56%,"1,00",1,"2,46%",1
,04/13/2021,"146,8","148,27",Si,"152,11","2,59%","145,35","-1,97%","149,71","0,97%","5,31%",No,13729030,Si,"-6,65%",6%,50%,"1,00",1,"2,46%",1
,04/12/2021,"142,37","143,79",Si,"143,49","-0,21%","136,36","-5,17%","139,4","-3,06%","1,03%",No,6060181,Si,"-58,79%",-109%,-31%,"0,00",0,"-3,94%",0
,04/09/2021,"133,51","134,85",Si,144,"6,79%","133,34","-1,12%","140,92","4,51%","-0,28%",Si,9918176,Si,"-32,56%",177%,72%,"1,00",1,"2,46%",1
,04/08/2021,"132,85","134,18",Si,"135,9","1,28%","132,06","-1,58%","133,88","-0,22%","1,05%",No,4530017,No,"-69,20%",-48%,60%,"1,00",0,"-0,22%",0
,04/07/2021,"132,37","133,69",Si,"135,16","1,10%","130,21","-2,61%","131,47","-1,66%","-0,87%",Si,4380038,No,"-70,22%",-55%,34%,"1,00",0,"-1,66%",0
,04/06/2021,"130,11","131,41",Si,"138,25","5,20%","128,16","-2,47%","133,53","1,61%","0,15%",Si,7438195,Si,"-49,42%",112%,37%,"1,00",1,"2,46%",1
,04/05/2021,"132,6","133,93",Si,"133,19","-0,55%","127,04","-5,14%","129,91","-3,00%","0,04%",No,5218269,Si,"-64,52%",-122%,-30%,"0,00",0,"-3,94%",0
