accion,estrategia,TP,SL,TR,sample,sample_per,Resultados,Efectividad,RR,Operaciones
AMAT,estrategia_0,2.33,-1.79,1.49,198,15.74,-2.311,33.333,1.3016759776536313,3
AMAT,estrategia_1,1.02,-1.93,0.79,239,19.0,-2.746,33.333,0.5284974093264249,3
AMAT,estrategia_2,0.98,-1.91,0.63,21,18.1,-1.01,66.667,0.5130890052356021,3
AMC,estrategia_0,9.33,-6.7,11.68,25,1.99,-13.714,25.0,1.3925373134328358,8
AMC,estrategia_1,2.39,-2.58,1.48,226,17.97,-6.054,25.0,0.9263565891472868,8
AMC,estrategia_2,8.83,-7.17,4.45,21,18.1,-12.45,25.0,1.2315202231520224,8
AMD,estrategia_0,2.6,-1.96,1.52,59,23.32,8.237,77.778,1.326530612244898,9
AMD,estrategia_1,1.55,-2.37,0.99,48,18.97,3.283,77.778,0.6540084388185654,9
AMD,estrategia_2,1.42,-1.87,0.81,20,17.39,4.051,77.778,0.7593582887700534,9
BA,estrategia_0,2.8,-2.23,2.01,127,10.1,1.11,33.333,1.2556053811659191,6
BA,estrategia_1,0.69,-1.94,0.58,228,18.12,1.396,50.0,0.35567010309278346,6
BA,estrategia_2,0.87,-1.85,0.62,22,18.97,1.589,50.0,0.47027027027027024,6
BABA,estrategia_0,1.97,-1.53,0.9,149,11.84,-2.399,20.0,1.287581699346405,5
BABA,estrategia_1,0.73,-1.84,0.67,244,19.4,-3.066,20.0,0.3967391304347826,5
BABA,estrategia_2,0.21,-1.89,0.54,19,16.38,-1.861,40.0,0.11111111111111112,5
BAC,estrategia_0,1.78,-1.52,0.73,84,6.68,-0.407,60.0,1.1710526315789473,5
BAC,estrategia_1,0.57,-1.7,0.61,242,19.24,-0.329,40.0,0.3352941176470588,5
BAC,estrategia_2,0.8,-1.76,0.52,23,19.83,-0.572,40.0,0.4545454545454546,5
C,estrategia_0,1.63,-1.6,0.55,40,15.81,0.098,50.0,1.0187499999999998,2
C,estrategia_1,1.04,-1.7,0.66,52,20.55,0.098,50.0,0.611764705882353,2
C,estrategia_2,0.88,-1.79,0.5,24,20.87,0.098,50.0,0.49162011173184356,2
CVX,estrategia_0,2.18,-1.75,1.18,90,7.15,-1.097,50.0,1.2457142857142858,2
CVX,estrategia_1,0.2,-1.55,0.41,230,18.28,-0.908,50.0,0.12903225806451613,2
CVX,estrategia_2,0.59,-1.61,0.55,24,20.69,-1.097,50.0,0.3664596273291925,2
DAL,estrategia_0,2.36,-1.6,1.2,53,20.95,3.05,55.556,1.4749999999999999,9
DAL,estrategia_1,1.47,-2.18,0.88,50,19.76,2.082,44.444,0.6743119266055045,9
DAL,estrategia_2,1.02,-2.22,0.82,22,19.13,1.175,44.444,0.45945945945945943,9
DKNG,estrategia_0,3.65,-2.91,2.5,121,28.47,-2.394,41.667,1.254295532646048,12
DKNG,estrategia_1,3.64,-2.94,2.04,82,19.29,-1.929,50.0,1.2380952380952381,12
DKNG,estrategia_2,2.55,-2.98,1.19,5,16.67,0.197,50.0,0.8557046979865771,12
GE,estrategia_0,2.41,-2.05,1.64,246,19.55,2.156,75.0,1.1756097560975611,4
GE,estrategia_1,1.04,-2.0,0.84,242,19.24,1.109,75.0,0.52,4
GE,estrategia_2,1.04,-1.74,0.62,22,18.97,1.176,75.0,0.5977011494252874,4
GILD,estrategia_0,1.83,-1.28,0.95,29,11.42,0.34,50.0,1.4296875,2
GILD,estrategia_1,0.73,-1.6,0.66,51,20.08,0.73,50.0,0.45625,2
GILD,estrategia_2,0.77,-1.42,0.68,24,20.87,0.73,50.0,0.5422535211267606,2
GM,estrategia_0,2.21,-1.59,1.13,135,10.73,-0.507,50.0,1.389937106918239,6
GM,estrategia_1,0.49,-1.76,0.54,227,18.04,0.205,50.0,0.2784090909090909,6
GM,estrategia_2,0.85,-2.02,0.73,21,18.1,-0.131,50.0,0.4207920792079208,6
HOOD,estrategia_0,5.56,-4.38,6.45,14,41.18,-14.143,33.333,1.269406392694064,9
HOOD,estrategia_1,5.45,-5.81,2.24,5,14.71,-13.542,33.333,0.9380378657487092,9
HOOD,estrategia_2,5.45,-5.81,2.24,5,15.62,-13.542,33.333,0.9380378657487092,9
INTC,estrategia_0,2.03,-1.66,1.35,150,11.92,-1.445,0.0,1.2228915662650601,3
INTC,estrategia_1,0.65,-1.91,0.59,238,18.92,-0.031,66.667,0.3403141361256545,3
INTC,estrategia_2,0.39,-1.78,0.54,22,18.97,0.09,66.667,0.21910112359550563,3
LI,estrategia_0,4.32,-3.46,3.38,53,20.38,3.714,66.667,1.2485549132947977,6
LI,estrategia_1,4.22,-3.38,1.97,51,19.62,3.992,66.667,1.2485207100591715,6
LI,estrategia_2,4.01,-3.87,2.03,23,19.83,3.646,66.667,1.0361757105943152,6
MRNA,estrategia_0,4.2,-2.74,3.0,101,39.92,10.047,72.222,1.532846715328467,18
MRNA,estrategia_1,5.06,-2.27,2.38,52,20.55,4.206,55.556,2.2290748898678414,18
MRNA,estrategia_2,5.13,-1.8,2.19,22,19.3,4.688,55.556,2.85,18
MS,estrategia_0,2.14,-1.77,1.45,156,12.4,0.283,100.0,1.2090395480225988,2
MS,estrategia_1,0.69,-1.67,0.64,239,19.0,0.283,100.0,0.41317365269461076,2
MS,estrategia_2,0.74,-1.57,0.61,23,19.83,-1.467,50.0,0.47133757961783435,2
MU,estrategia_0,2.31,-1.84,1.34,242,19.24,-0.556,40.0,1.2554347826086956,5
MU,estrategia_1,1.55,-2.09,0.93,244,19.4,-0.433,40.0,0.7416267942583733,5
MU,estrategia_2,0.98,-2.29,0.71,22,18.97,0.007,40.0,0.4279475982532751,5
NCLH,estrategia_0,2.89,-2.5,2.18,44,3.5,4.907,63.636,1.1560000000000001,11
NCLH,estrategia_1,0.99,-1.7,0.78,221,17.57,0.505,63.636,0.5823529411764706,11
NCLH,estrategia_2,1.9,-2.37,0.85,22,18.97,3.873,72.727,0.8016877637130801,11
NIO,estrategia_0,4.14,-3.1,2.79,84,11.43,2.653,57.143,1.335483870967742,7
NIO,estrategia_1,4.22,-3.22,2.09,139,18.91,3.853,71.429,1.31055900621118,7
NIO,estrategia_2,3.96,-2.01,1.53,19,20.43,4.275,57.143,1.9701492537313434,7
NVDA,estrategia_0,2.46,-2.0,1.68,238,18.92,2.148,62.5,1.23,8
NVDA,estrategia_1,1.37,-2.12,0.94,244,19.4,-1.316,50.0,0.6462264150943396,8
NVDA,estrategia_2,1.37,-1.93,0.93,22,18.97,-0.878,50.0,0.7098445595854923,8
OXY,estrategia_0,2.18,-1.75,1.03,111,8.82,-0.555,50.0,1.2457142857142858,2
OXY,estrategia_1,0.79,-1.69,0.72,221,17.57,-2.375,0.0,0.4674556213017752,2
OXY,estrategia_2,2.71,-2.12,1.14,23,19.83,-0.555,50.0,1.2783018867924527,2
PFE,estrategia_0,2.01,-1.45,1.1,82,6.52,-0.049,50.0,1.386206896551724,4
PFE,estrategia_1,0.22,-1.5,0.44,237,18.84,0.344,75.0,0.14666666666666667,4
PFE,estrategia_2,0.36,-1.32,0.44,22,18.97,0.361,75.0,0.2727272727272727,4
PINS,estrategia_0,2.96,-2.45,1.96,115,19.66,-3.982,60.0,1.2081632653061223,5
PINS,estrategia_1,2.38,-2.51,1.22,113,19.32,-4.952,40.0,0.9482071713147411,5
PINS,estrategia_2,1.8,-1.67,0.9,14,19.44,-4.368,40.0,1.0778443113772456,5
PLTR,estrategia_0,8.72,-3.05,9.31,18,8.22,2.143,60.0,2.8590163934426234,10
PLTR,estrategia_1,3.44,-4.11,1.75,38,17.35,1.738,60.0,0.8369829683698297,10
PLTR,estrategia_2,2.2,-2.37,1.12,17,18.28,2.906,60.0,0.9282700421940928,10
RBLX,estrategia_0,4.72,-2.82,2.74,29,26.61,0.257,33.333,1.673758865248227,6
RBLX,estrategia_1,4.41,-2.52,2.31,21,19.27,0.744,33.333,1.75,6
RBLX,estrategia_2,3.7,-2.72,2.13,16,17.2,0.738,33.333,1.3602941176470589,6
RIOT,estrategia_0,6.84,-5.21,5.67,50,3.97,-3.224,42.857,1.3128598848368522,7
RIOT,estrategia_1,5.97,-4.44,2.89,235,18.68,3.13,57.143,1.3445945945945945,7
RIOT,estrategia_2,7.06,-4.25,3.03,22,18.97,-0.425,57.143,1.6611764705882353,7
SNAP,estrategia_0,3.22,-2.58,2.71,81,7.23,-2.291,50.0,1.248062015503876,8
SNAP,estrategia_1,2.41,-2.45,1.16,214,19.09,-0.006,50.0,0.9836734693877551,8
SNAP,estrategia_2,2.46,-2.56,1.3,19,20.43,0.048,50.0,0.9609375,8
SOXL,estrategia_0,4.13,-2.95,3.11,48,18.97,-5.151,12.5,1.4,8
SOXL,estrategia_1,3.75,-2.84,1.73,51,20.16,-3.312,25.0,1.3204225352112677,8
SOXL,estrategia_2,3.44,-2.37,1.76,22,19.13,-3.168,25.0,1.451476793248945,8
SPCE,estrategia_0,5.83,-4.42,4.11,68,6.98,13.021,66.667,1.3190045248868778,12
SPCE,estrategia_1,1.96,-5.42,1.65,165,16.94,9.141,66.667,0.36162361623616235,12
SPCE,estrategia_2,6.81,-3.05,3.04,18,19.35,12.459,66.667,2.232786885245902,12
TQQQ,estrategia_0,2.98,-2.63,1.95,185,14.71,2.852,50.0,1.1330798479087454,4
TQQQ,estrategia_1,1.81,-2.88,1.1,234,18.6,0.38,50.0,0.6284722222222222,4
TQQQ,estrategia_2,1.71,-1.74,0.96,22,18.97,1.215,50.0,0.9827586206896551,4
UAL,estrategia_0,3.26,-2.47,2.46,138,10.97,6.123,75.0,1.3198380566801617,8
UAL,estrategia_1,0.97,-1.71,0.71,226,17.97,6.289,87.5,0.5672514619883041,8
UAL,estrategia_2,1.62,-2.47,1.02,22,18.97,5.978,75.0,0.6558704453441295,8
VIAC,estrategia_0,2.95,-1.88,2.16,139,11.05,-1.818,42.857,1.569148936170213,7
VIAC,estrategia_1,0.93,-1.82,0.75,225,17.89,-2.384,42.857,0.510989010989011,7
VIAC,estrategia_2,2.58,-2.35,1.21,21,18.1,-1.39,42.857,1.097872340425532,7
WFC,estrategia_0,2.19,-1.76,1.32,37,14.62,-0.341,33.333,1.2443181818181819,3
WFC,estrategia_1,1.22,-1.86,0.81,51,20.16,0.728,66.667,0.6559139784946236,3
WFC,estrategia_2,0.91,-1.72,0.57,23,20.0,0.573,100.0,0.5290697674418605,3
X,estrategia_0,2.74,-2.18,1.84,138,10.97,1.558,40.0,1.2568807339449541,10
X,estrategia_1,2.5,-2.51,1.25,235,18.68,0.104,40.0,0.9960159362549802,10
X,estrategia_2,3.9,-3.02,1.93,22,18.97,0.4,40.0,1.2913907284768211,10
XLE,estrategia_0,2.07,-1.6,0.78,46,18.18,1.202,75.0,1.2937499999999997,4
XLE,estrategia_1,1.18,-1.8,0.84,49,19.37,1.398,75.0,0.6555555555555556,4
XLE,estrategia_2,0.75,-1.98,0.59,24,20.87,1.178,75.0,0.3787878787878788,4
XOM,estrategia_0,2.15,-1.51,1.17,45,17.79,2.056,66.667,1.423841059602649,3
XOM,estrategia_1,0.94,-1.82,0.75,48,18.97,1.722,100.0,0.5164835164835164,3
XOM,estrategia_2,0.79,-1.83,0.7,24,20.87,1.722,100.0,0.43169398907103823,3
XOP,estrategia_0,2.74,-2.1,1.98,168,13.35,2.829,71.429,1.3047619047619048,7
XOP,estrategia_1,0.93,-1.89,0.76,234,18.6,-0.45,57.143,0.4920634920634921,7
XOP,estrategia_2,1.96,-2.13,1.0,24,20.69,4.415,71.429,0.9201877934272301,7
XPEV,estrategia_0,4.08,-3.57,3.28,72,30.0,-0.876,40.0,1.142857142857143,10
XPEV,estrategia_1,4.41,-3.67,1.94,46,19.17,3.071,50.0,1.2016348773841963,10
XPEV,estrategia_2,4.83,-2.25,2.03,24,20.69,4.194,50.0,2.1466666666666665,10
